Route,Airline,Manufacturer,Distance,DestState,DestLong,DestAirport,DestLat,OriginLong,OriginAirport,OriginState,OriginLat,Flights,DestCity,OriginCity
CMH-IAH,Continental Air Lines Inc.,BOEING,986,TX,-95.3397216797,George Bush Intercontinental,29.9804725647,-82.8918838501,Port Columbus Intl,OH,39.9979858398,1306,Houston,Columbus
CMH-IAH,Expressjet Airlines Inc.,EMBRAER,986,OH,-82.8918838501,Port Columbus Intl,39.9979858398,-95.3397216797,George Bush Intercontinental,TX,29.9804725647,319,Columbus,Houston
HDN-IAH,Continental Air Lines Inc.,BOEING,986,TX,-95.3397216797,George Bush Intercontinental,29.9804725647,-107.217658997,Yampa Valley,CO,40.4811820984,222,Houston,Hayden
GSO-IAH,Expressjet Airlines Inc.,EMBRAER,986,TX,-95.3397216797,George Bush Intercontinental,29.9804725647,-79.9372940063,Piedmont Triad International,NC,36.0977478027,2005,Houston,Greensboro
GSO-IAH,Continental Air Lines Inc.,BOEING,986,TX,-95.3397216797,George Bush Intercontinental,29.9804725647,-79.9372940063,Piedmont Triad International,NC,36.0977478027,24,Houston,Greensboro
CHS-DFW,American Eagle Airlines Inc.,EMBRAER,987,SC,-80.0405044556,Charleston AFB/International,32.8986473083,-97.0372009277,Dallas-Fort Worth International,TX,32.8959503174,1694,Charleston,Dallas-Fort Worth
DFW-DTW,Northwest Airlines Inc.,AIRBUS,987,MI,-83.3488388062,Detroit Metropolitan-Wayne County,42.212059021,-97.0372009277,Dallas-Fort Worth International,TX,32.8959503174,1549,Detroit,Dallas-Fort Worth
DFW-DTW,American Airlines Inc.,PIPER,987,TX,-97.0372009277,Dallas-Fort Worth International,32.8959503174,-83.3488388062,Detroit Metropolitan-Wayne County,MI,42.212059021,12,Dallas-Fort Worth,Detroit
DFW-DTW,American Airlines Inc.,MCDONNELL DOUGLAS,987,MI,-83.3488388062,Detroit Metropolitan-Wayne County,42.212059021,-97.0372009277,Dallas-Fort Worth International,TX,32.8959503174,2026,Detroit,Dallas-Fort Worth
DFW-DTW,American Airlines Inc.,BEECH,987,MI,-83.3488388062,Detroit Metropolitan-Wayne County,42.212059021,-97.0372009277,Dallas-Fort Worth International,TX,32.8959503174,31,Detroit,Dallas-Fort Worth
LAS-OKC,Southwest Airlines Co.,BOEING,987,OK,-97.600730896,Will Rogers World,35.3930892944,-115.152336121,McCarran International,NV,36.0803604126,772,Oklahoma City,Las Vegas
